c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Gd3+,Sc3+,Al3+,1.075,1.2,0.885,1.36,0.675,1.61,-0.04848022484375072
Ca2+,Sc3+,Ti4+,1.14,1.0,0.885,1.36,0.745,1.54,-0.14099705468750018
Cd2+,Cr3+,Ge4+,1.09,1.69,0.755,1.66,0.67,2.01,-0.0877238943750001
Mg2+,Al3+,Ge4+,0.86,1.31,0.675,1.61,0.67,2.01,-0.037325197624999265
Cd2+,Tm3+,Ti4+,1.09,1.69,1.02,1.25,0.745,1.54,0.004684076937500237
Eu3+,In3+,Al3+,1.087,1.2,0.94,1.78,0.675,1.61,-0.007905248640625473
Sr2+,In3+,Ti4+,1.32,0.95,0.94,1.78,0.745,1.54,-0.18339184168750008
Sm3+,Al3+,Al3+,1.0979999999999999,1.17,0.675,1.61,0.675,1.61,-0.0541138753437501
Cd2+,Ho3+,Ge4+,1.09,1.69,1.041,1.23,0.67,2.01,-0.0644998545
Zn2+,Er3+,Ge4+,0.88,1.65,1.03,1.24,0.67,2.01,0.1269816881875002
Ca2+,Ga3+,Sn4+,1.14,1.0,0.76,1.81,0.83,1.96,0.026989324499999513
Mg2+,Ga3+,Sn4+,0.86,1.31,0.76,1.81,0.83,1.96,0.2279370796249996
Bi3+,Ho3+,Ga3+,1.17,2.02,1.041,1.23,0.76,1.81,-0.003925819437500167
La3+,Al3+,Al3+,1.172,1.1,0.675,1.61,0.675,1.61,-0.020461044000000327
Dy3+,Sc3+,Ga3+,1.052,1.22,0.885,1.36,0.76,1.81,-0.052909658187499174
Ca2+,Al3+,Sn4+,1.14,1.0,0.675,1.61,0.83,1.96,0.028607034000000198
Ca2+,Sc3+,Ge4+,1.14,1.0,0.885,1.36,0.67,2.01,-0.18890945618749946
Nd3+,Ga3+,Ga3+,1.123,1.14,0.76,1.81,0.76,1.81,-0.06905179693749944
Ho3+,Tm3+,Ga3+,1.041,1.23,1.02,1.25,0.76,1.81,-0.012671536000000571
Sr2+,Ga3+,Ti4+,1.32,0.95,0.76,1.81,0.745,1.54,-0.15036486575000013
Sr2+,Er3+,Ti4+,1.32,0.95,1.03,1.24,0.745,1.54,-0.2047607143124992
Ba2+,Dy3+,Si4+,1.49,0.89,1.052,1.22,0.54,1.9,-0.1589284123749998
Ho3+,Rh3+,Al3+,1.041,1.23,0.805,2.28,0.675,1.61,-0.01489709131249981
Zn2+,Al3+,Sn4+,0.88,1.65,0.675,1.61,0.83,1.96,0.2895476933750004
Lu3+,Ga3+,Ga3+,1.001,1.27,0.76,1.81,0.76,1.81,-0.025428289968749594
Cd2+,Tm3+,Si4+,1.09,1.69,1.02,1.25,0.54,1.9,-0.021555044062500882
Na1+,In3+,As5+,1.16,0.93,0.94,1.78,0.6,2.18,-0.3304090545000008
Pr3+,Dy3+,Ga3+,1.13,1.13,1.052,1.22,0.76,1.81,-0.06433247687499985
Ho3+,Ga3+,Al3+,1.041,1.23,0.76,1.81,0.675,1.61,-0.036380795437499815
Zn2+,Ga3+,Sn4+,0.88,1.65,0.76,1.81,0.83,1.96,0.2924639233750003
Eu3+,Ga3+,Al3+,1.087,1.2,0.76,1.81,0.675,1.61,-0.008901286078125282
Tm3+,Er3+,Ga3+,1.02,1.25,1.03,1.24,0.76,1.81,0.015140984281249815
Sr2+,Er3+,Si4+,1.32,0.95,1.03,1.24,0.54,1.9,-0.174598944937501
Sr2+,Sc3+,Si4+,1.32,0.95,0.885,1.36,0.54,1.9,-0.1692204838125015
Dy3+,Ga3+,Al3+,1.052,1.22,0.76,1.81,0.675,1.61,-0.03987667975000022
Gd3+,Ga3+,Al3+,1.075,1.2,0.76,1.81,0.675,1.61,-0.03545643815625112
Er3+,Y3+,Al3+,1.03,1.24,1.04,1.22,0.675,1.61,0.029845332031249682
Zn2+,Ga3+,Ge4+,0.88,1.65,0.76,1.81,0.67,2.01,0.0627921956249999
Zn2+,Y3+,Ti4+,0.88,1.65,1.04,1.22,0.745,1.54,0.2178505410000014
Ba2+,Rh3+,Ti4+,1.49,0.89,0.805,2.28,0.745,1.54,-0.1512823718749992
La3+,Tm3+,Al3+,1.172,1.1,1.02,1.25,0.675,1.61,-0.04752990643750081
Pr3+,Al3+,Al3+,1.13,1.13,0.675,1.61,0.675,1.61,-0.04176114437499976
Bi3+,Ga3+,Al3+,1.17,2.02,0.76,1.81,0.675,1.61,0.010033676437499394
Ca2+,In3+,Sn4+,1.14,1.0,0.94,1.78,0.83,1.96,0.011039966437499871
Pr3+,Ga3+,Al3+,1.13,1.13,0.76,1.81,0.675,1.61,-0.04103580537500022
Y3+,Cr3+,Ga3+,1.04,1.22,0.755,1.66,0.76,1.81,-0.06837925762499922
La3+,Al3+,Ga3+,1.172,1.1,0.675,1.61,0.76,1.81,-0.04810054787499958
La3+,In3+,Ga3+,1.172,1.1,0.94,1.78,0.76,1.81,-0.06858350243750025
La3+,Y3+,Ga3+,1.172,1.1,1.04,1.22,0.76,1.81,-0.062332687125000064
Mg2+,Cr3+,Ti4+,0.86,1.31,0.755,1.66,0.745,1.54,0.06987600262500138
La3+,Dy3+,Al3+,1.172,1.1,1.052,1.22,0.675,1.61,-0.035541951625000935
Mg2+,Er3+,Si4+,0.86,1.31,1.03,1.24,0.54,1.9,0.08742767081250022
Sr2+,Ga3+,Ge4+,1.32,0.95,0.76,1.81,0.67,2.01,-0.1701159818750007
Ba2+,Al3+,Ge4+,1.49,0.89,0.675,1.61,0.67,2.01,-0.07017706699999984
Sr2+,Sc3+,Sn4+,1.32,0.95,0.885,1.36,0.83,1.96,-0.06017259306250082
Sr2+,Al3+,Ti4+,1.32,0.95,0.675,1.61,0.745,1.54,-0.14262442274999926
Cd2+,Al3+,Ti4+,1.09,1.69,0.675,1.61,0.745,1.54,0.00048309225000053857
Y3+,In3+,Ga3+,1.04,1.22,0.94,1.78,0.76,1.81,-0.03554444693750014
Sm3+,Dy3+,Ga3+,1.0979999999999999,1.17,1.052,1.22,0.76,1.81,-0.041915833968749185
Tm3+,Ga3+,Al3+,1.02,1.25,0.76,1.81,0.675,1.61,-0.02861276403125146
Sr2+,In3+,Ge4+,1.32,0.95,0.94,1.78,0.67,2.01,-0.21036202318750058
Na1+,Ho3+,As5+,1.16,0.93,1.041,1.23,0.6,2.18,-0.3732020174375002
Ba2+,Y3+,Si4+,1.49,0.89,1.04,1.22,0.54,1.9,-0.16024068162499958
Y3+,Al3+,Al3+,1.04,1.22,0.675,1.61,0.675,1.61,-0.05134790387499919
Na1+,Dy3+,P5+,1.16,0.93,1.052,1.22,0.52,2.19,-0.4737789444999997
Sr2+,Dy3+,Si4+,1.32,0.95,1.052,1.22,0.54,1.9,-0.1717215602500005
Tm3+,Tm3+,Ga3+,1.02,1.25,1.02,1.25,0.76,1.81,0.007531750656249869
Ba2+,Al3+,Sn4+,1.49,0.89,0.675,1.61,0.83,1.96,0.034995723500000506
Cd2+,Rh3+,Ti4+,1.09,1.69,0.805,2.28,0.745,1.54,0.0051613641250000345
Mg2+,Ga3+,Ge4+,0.86,1.31,0.76,1.81,0.67,2.01,-0.013839587375000661
Ba2+,Y3+,Ti4+,1.49,0.89,1.04,1.22,0.745,1.54,-0.22263162449999782
Pr3+,Al3+,Ga3+,1.13,1.13,0.675,1.61,0.76,1.81,-0.06619318487500045
Mg2+,Al3+,Sn4+,0.86,1.31,0.675,1.61,0.83,1.96,0.22476203512499993
Gd3+,Al3+,Al3+,1.075,1.2,0.675,1.61,0.675,1.61,-0.04570333628125027
Mg2+,Sc3+,Ti4+,0.86,1.31,0.885,1.36,0.745,1.54,0.09275845818750099
Mg2+,Rh3+,Ge4+,0.86,1.31,0.805,2.28,0.67,2.01,0.009287421250000705
Dy3+,Sc3+,Al3+,1.052,1.22,0.885,1.36,0.675,1.61,-0.04351302293749946
Sm3+,Sc3+,Al3+,1.0979999999999999,1.17,0.885,1.36,0.675,1.61,-0.06358650703125086
Sr2+,Dy3+,Sn4+,1.32,0.95,1.052,1.22,0.83,1.96,-0.06831897837500059
Pr3+,Ga3+,Ga3+,1.13,1.13,0.76,1.81,0.76,1.81,-0.06809193937499955
Bi3+,In3+,Ga3+,1.17,2.02,0.94,1.78,0.76,1.81,-0.020608002624999955
Gd3+,Al3+,Ga3+,1.075,1.2,0.675,1.61,0.76,1.81,-0.058454374781249284
La3+,Ga3+,Ga3+,1.172,1.1,0.76,1.81,0.76,1.81,-0.052104034874999886
Tb3+,Al3+,Ga3+,1.063,1.1,0.675,1.61,0.76,1.81,-0.06500762315624975
Sm3+,Er3+,Al3+,1.0979999999999999,1.17,1.03,1.24,0.675,1.61,-0.033609518656249546
Sm3+,Ga3+,Al3+,1.0979999999999999,1.17,0.76,1.81,0.675,1.61,-0.04675562096875012
Cd2+,Dy3+,Sn4+,1.09,1.69,1.052,1.22,0.83,1.96,0.12718659212500008
Cd2+,Cr3+,Si4+,1.09,1.69,0.755,1.66,0.54,1.9,-0.03251945950000064
Nd3+,In3+,Al3+,1.123,1.14,0.94,1.78,0.675,1.61,-0.04814150887500048
Sr2+,Y3+,Si4+,1.32,0.95,1.04,1.22,0.54,1.9,-0.1717345367500009
Pr3+,Ho3+,Ga3+,1.13,1.13,1.041,1.23,0.76,1.81,-0.06876207549999976
Nd3+,Y3+,Al3+,1.123,1.14,1.04,1.22,0.675,1.61,-0.03447153256250033
Ba2+,Er3+,Si4+,1.49,0.89,1.03,1.24,0.54,1.9,-0.15577353781250025
Gd3+,Cr3+,Al3+,1.075,1.2,0.755,1.66,0.675,1.61,-0.05706884078125043
Er3+,Ga3+,Ga3+,1.03,1.24,0.76,1.81,0.76,1.81,-0.04400913784374936
Mg2+,Dy3+,Ti4+,0.86,1.31,1.052,1.22,0.745,1.54,0.13438051062500095
Sm3+,In3+,Al3+,1.0979999999999999,1.17,0.94,1.78,0.675,1.61,-0.0415048465312509
Mg2+,Tm3+,Sn4+,0.86,1.31,1.02,1.25,0.83,1.96,0.26465699056250036
Er3+,Ga3+,Al3+,1.03,1.24,0.76,1.81,0.675,1.61,-0.03319478846875086
Tm3+,Y3+,Al3+,1.02,1.25,1.04,1.22,0.675,1.61,0.04094304284374957
Ba2+,Ga3+,Ti4+,1.49,0.89,0.76,1.81,0.745,1.54,-0.1203118888749998
Ba2+,Ga3+,Sn4+,1.49,0.89,0.76,1.81,0.83,1.96,0.011055693625000274
Tb3+,Al3+,Al3+,1.063,1.1,0.675,1.61,0.675,1.61,-0.05535650640625036
Y3+,Er3+,Ga3+,1.04,1.22,1.03,1.24,0.76,1.81,-0.015612797937499322
Y3+,Sc3+,Al3+,1.04,1.22,0.885,1.36,0.675,1.61,-0.042229628562500565
Tb3+,Ho3+,Al3+,1.063,1.1,1.041,1.23,0.675,1.61,-0.004301329531251241
Tb3+,Y3+,Al3+,1.063,1.1,1.04,1.22,0.675,1.61,0.0032555685937488477
Zn2+,Dy3+,Si4+,0.88,1.65,1.052,1.22,0.54,1.9,0.18097285000000057
Tb3+,Y3+,Ga3+,1.063,1.1,1.04,1.22,0.76,1.81,-0.01215796140624974
Sr2+,Tm3+,Sn4+,1.32,0.95,1.02,1.25,0.83,1.96,-0.0722647495625008
Pr3+,Sc3+,Ga3+,1.13,1.13,0.885,1.36,0.76,1.81,-0.091617990437501
Bi3+,In3+,Al3+,1.17,2.02,0.94,1.78,0.675,1.61,0.0062393081249993545
Cd2+,Ga3+,Ge4+,1.09,1.69,0.76,1.81,0.67,2.01,-0.07002356400000025
Nd3+,Al3+,Al3+,1.123,1.14,0.675,1.61,0.675,1.61,-0.04771315856250027
Er3+,Al3+,Ga3+,1.03,1.24,0.675,1.61,0.76,1.81,-0.05373636471874939
Cd2+,Ga3+,Ti4+,1.09,1.69,0.76,1.81,0.745,1.54,0.008336184500000598
Zn2+,Ho3+,Ge4+,0.88,1.65,1.041,1.23,0.67,2.01,0.13210738725000012
Ca2+,Ga3+,Ge4+,1.14,1.0,0.76,1.81,0.67,2.01,-0.1641199716249993
Ho3+,Al3+,Ga3+,1.041,1.23,0.675,1.61,0.76,1.81,-0.05751921668749951
Pr3+,Rh3+,Al3+,1.13,1.13,0.805,2.28,0.675,1.61,-0.02837483412500106
Dy3+,Al3+,Ga3+,1.052,1.22,0.675,1.61,0.76,1.81,-0.06145952562499879
Er3+,Er3+,Al3+,1.03,1.24,1.03,1.24,0.675,1.61,0.01435507421874931
Zn2+,In3+,Ge4+,0.88,1.65,0.94,1.78,0.67,2.01,0.09971147793749964
Er3+,Sc3+,Ga3+,1.03,1.24,0.885,1.36,0.76,1.81,-0.03814181090625048
Tb3+,Tm3+,Ga3+,1.063,1.1,1.02,1.25,0.76,1.81,-0.030999319093749735
Sr2+,Al3+,Ge4+,1.32,0.95,0.675,1.61,0.67,2.01,-0.1620639472500006
Sm3+,Y3+,Al3+,1.0979999999999999,1.17,1.04,1.22,0.675,1.61,-0.02192417371874953
Cd2+,Al3+,Sn4+,1.09,1.69,0.675,1.61,0.83,1.96,0.1167593581250003
Tb3+,Ga3+,Al3+,1.063,1.1,0.76,1.81,0.675,1.61,-0.04287406153125062
La3+,Cr3+,Al3+,1.172,1.1,0.755,1.66,0.675,1.61,-0.049558597375000346
Tb3+,Ga3+,Ga3+,1.063,1.1,0.76,1.81,0.76,1.81,-0.05765523615624986
Sm3+,Al3+,Ga3+,1.0979999999999999,1.17,0.675,1.61,0.76,1.81,-0.0707111720937494
Dy3+,Ga3+,Ga3+,1.052,1.22,0.76,1.81,0.76,1.81,-0.05330475000000021
Sr2+,Ho3+,Si4+,1.32,0.95,1.041,1.23,0.54,1.9,-0.17336742887500023
Na1+,Dy3+,As5+,1.16,0.93,1.052,1.22,0.6,2.18,-0.3725887788124993
Sm3+,Cr3+,Ga3+,1.0979999999999999,1.17,0.755,1.66,0.76,1.81,-0.08588938159374919
Tb3+,Sc3+,Al3+,1.063,1.1,0.885,1.36,0.675,1.61,-0.04939483071875124
Ca2+,In3+,Ti4+,1.14,1.0,0.94,1.78,0.745,1.54,-0.12044838631249988
Ho3+,Dy3+,Al3+,1.041,1.23,1.052,1.22,0.675,1.61,0.020008727437500085
Eu3+,Cr3+,Ga3+,1.087,1.2,0.755,1.66,0.76,1.81,-0.05526832182812456
Er3+,Tm3+,Al3+,1.03,1.24,1.02,1.25,0.675,1.61,0.006694488343750038
Y3+,Al3+,Ga3+,1.04,1.22,0.675,1.61,0.76,1.81,-0.059261007250000476
Nd3+,Dy3+,Ga3+,1.123,1.14,1.052,1.22,0.76,1.81,-0.05748925956250019
Tm3+,Al3+,Al3+,1.02,1.25,0.675,1.61,0.675,1.61,-0.045832032406250535
Ca2+,Al3+,Ti4+,1.14,1.0,0.675,1.61,0.745,1.54,-0.11961474187499874
Nd3+,Ga3+,Al3+,1.123,1.14,0.76,1.81,0.675,1.61,-0.04443519518749994
Zn2+,Dy3+,Sn4+,0.88,1.65,1.052,1.22,0.83,1.96,0.34986074862500055
Nd3+,Sc3+,Al3+,1.123,1.14,0.885,1.36,0.675,1.61,-0.0683449143750007
Mg2+,In3+,Sn4+,0.86,1.31,0.94,1.78,0.83,1.96,0.24070049893750003
Sr2+,Ga3+,Sn4+,1.32,0.95,0.76,1.81,0.83,1.96,-0.01630939599999941
Mg2+,Al3+,Ti4+,0.86,1.31,0.675,1.61,0.745,1.54,0.07132758612500112
Eu3+,Rh3+,Al3+,1.087,1.2,0.805,2.28,0.675,1.61,-0.04416470945312554
Dy3+,Er3+,Ga3+,1.052,1.22,1.03,1.24,0.76,1.81,-0.014536414187499246
Lu3+,Al3+,Al3+,1.001,1.27,0.675,1.61,0.675,1.61,-0.03720174796875
Mg2+,Ga3+,Ti4+,0.86,1.31,0.76,1.81,0.745,1.54,0.08767689225000126
Mg2+,Ho3+,Ti4+,0.86,1.31,1.041,1.23,0.745,1.54,0.12891491175000028
Tm3+,Ga3+,Ga3+,1.02,1.25,0.76,1.81,0.76,1.81,-0.038116473156249955
Ca2+,Sc3+,Sn4+,1.14,1.0,0.885,1.36,0.83,1.96,0.006322901187500918
Ca2+,Al3+,Si4+,1.14,1.0,0.675,1.61,0.54,1.9,-0.13149114524999916
Mg2+,Cr3+,Ge4+,0.86,1.31,0.755,1.66,0.67,2.01,-0.026171047249999902
Zn2+,Sc3+,Sn4+,0.88,1.65,0.885,1.36,0.83,1.96,0.31436848206250045
Ba2+,Dy3+,Ti4+,1.49,0.89,1.052,1.22,0.745,1.54,-0.2215861956249995
Lu3+,Al3+,Ga3+,1.001,1.27,0.675,1.61,0.76,1.81,-0.037241778843749886
Eu3+,Rh3+,Ga3+,1.087,1.2,0.805,2.28,0.76,1.81,-0.07176714970312474
Pr3+,Cr3+,Al3+,1.13,1.13,0.755,1.66,0.675,1.61,-0.06407980100000046
Cd2+,Ga3+,Sn4+,1.09,1.69,0.76,1.81,0.83,1.96,0.11595872800000002
Tb3+,Cr3+,Ga3+,1.063,1.1,0.755,1.66,0.76,1.81,-0.07545083903124947
Ba2+,Sc3+,Sn4+,1.49,0.89,0.885,1.36,0.83,1.96,-0.0633831870624995
Tb3+,Dy3+,Al3+,1.063,1.1,1.052,1.22,0.675,1.61,0.0024092837187495776
Ba2+,Y3+,Sn4+,1.49,0.89,1.04,1.22,0.83,1.96,-0.09663977775000028
Mg2+,In3+,Ge4+,0.86,1.31,0.94,1.78,0.67,2.01,0.026233892687499604
Tb3+,Cr3+,Al3+,1.063,1.1,0.755,1.66,0.675,1.61,-0.06229113415625065
Bi3+,Er3+,Al3+,1.17,2.02,1.03,1.24,0.675,1.61,0.015783863624999128
Ca2+,In3+,Si4+,1.14,1.0,0.94,1.78,0.54,1.9,-0.11969122181250072
Na1+,Ho3+,P5+,1.16,0.93,1.041,1.23,0.52,2.19,-0.4739863377500001
Mg2+,Ho3+,Ge4+,0.86,1.31,1.041,1.23,0.67,2.01,0.059702088750000826
Eu3+,Ho3+,Al3+,1.087,1.2,1.041,1.23,0.675,1.61,-0.001571335828125342
Zn2+,Er3+,Sn4+,0.88,1.65,1.03,1.24,0.83,1.96,0.3404042014375005
Eu3+,In3+,Ga3+,1.087,1.2,0.94,1.78,0.76,1.81,-0.028155553390624987
Eu3+,Dy3+,Al3+,1.087,1.2,1.052,1.22,0.675,1.61,0.006452234796874734
Mg2+,Y3+,Ti4+,0.86,1.31,1.04,1.22,0.745,1.54,0.13507566500000082
Cd2+,Y3+,Sn4+,1.09,1.69,1.04,1.22,0.83,1.96,0.12675309175000002
Mg2+,Tm3+,Si4+,0.86,1.31,1.02,1.25,0.54,1.9,0.07884126243749989
Eu3+,Tm3+,Ga3+,1.087,1.2,1.02,1.25,0.76,1.81,-0.025682509390625087
Cd2+,Er3+,Sn4+,1.09,1.69,1.03,1.24,0.83,1.96,0.12116767056249991
Tm3+,Er3+,Al3+,1.02,1.25,1.03,1.24,0.675,1.61,0.024918700156249685
Pr3+,Cr3+,Ga3+,1.13,1.13,0.755,1.66,0.76,1.81,-0.08816347937499955
Tm3+,Tm3+,Al3+,1.02,1.25,1.02,1.25,0.675,1.61,0.01660936565625022
Cd2+,Er3+,Si4+,1.09,1.69,1.03,1.24,0.54,1.9,-0.016663570562500497
Dy3+,Ho3+,Al3+,1.052,1.22,1.041,1.23,0.675,1.61,0.00453520775000058
Ca2+,Er3+,Sn4+,1.14,1.0,1.03,1.24,0.83,1.96,0.011239094812500738
Pr3+,Y3+,Ga3+,1.13,1.13,1.04,1.22,0.76,1.81,-0.06419038650000033
La3+,Sc3+,Ga3+,1.172,1.1,0.885,1.36,0.76,1.81,-0.08471967706250005
Na1+,Tm3+,As5+,1.16,0.93,1.02,1.25,0.6,2.18,-0.3739548130000003
Nd3+,Er3+,Ga3+,1.123,1.14,1.03,1.24,0.76,1.81,-0.0661658682499997
Nd3+,Cr3+,Ga3+,1.123,1.14,0.755,1.66,0.76,1.81,-0.0885342045625002
Na1+,Tm3+,P5+,1.16,0.93,1.02,1.25,0.52,2.19,-0.47527850531250027
Pr3+,Er3+,Al3+,1.13,1.13,1.03,1.24,0.675,1.61,-0.04866774918750068
Cd2+,Tm3+,Sn4+,1.09,1.69,1.02,1.25,0.83,1.96,0.11782425706249988
Zn2+,Tm3+,Ti4+,0.88,1.65,1.02,1.25,0.745,1.54,0.20320367131250022
Sr2+,Dy3+,Ge4+,1.32,0.95,1.052,1.22,0.67,2.01,-0.22864048850000032
Na1+,Al3+,As5+,1.16,0.93,0.675,1.61,0.6,2.18,-0.30600178556249985
Cd2+,Rh3+,Sn4+,1.09,1.69,0.805,2.28,0.83,1.96,0.11217079150000053
Cd2+,Cr3+,Ti4+,1.09,1.69,0.755,1.66,0.745,1.54,-0.010044420374998708
Sm3+,Tm3+,Al3+,1.0979999999999999,1.17,1.02,1.25,0.675,1.61,-0.03936256203125055
Bi3+,Ho3+,Al3+,1.17,2.02,1.041,1.23,0.675,1.61,0.01933428243749944
Zn2+,Sc3+,Si4+,0.88,1.65,0.885,1.36,0.54,1.9,0.1254821349375
Nd3+,Y3+,Ga3+,1.123,1.14,1.04,1.22,0.76,1.81,-0.0569609668125004
Tb3+,In3+,Al3+,1.063,1.1,0.94,1.78,0.675,1.61,-0.024829514843750643
Zn2+,Er3+,Ti4+,0.88,1.65,1.03,1.24,0.745,1.54,0.20831200106250095
Er3+,Cr3+,Ga3+,1.03,1.24,0.755,1.66,0.76,1.81,-0.06032096634374966
Mg2+,Rh3+,Si4+,0.86,1.31,0.805,2.28,0.54,1.9,0.05925242375000082
La3+,Tm3+,Ga3+,1.172,1.1,1.02,1.25,0.76,1.81,-0.07350141706249999
Ba2+,Rh3+,Sn4+,1.49,0.89,0.805,2.28,0.83,1.96,0.005906877625000462
Mg2+,Tm3+,Ge4+,0.86,1.31,1.02,1.25,0.67,2.01,0.04523776456249991
Bi3+,Y3+,Al3+,1.17,2.02,1.04,1.22,0.675,1.61,0.02397032718750012
Bi3+,Sc3+,Ga3+,1.17,2.02,0.885,1.36,0.76,1.81,-0.024100846249999464
Bi3+,Tm3+,Ga3+,1.17,2.02,1.02,1.25,0.76,1.81,-0.01149232237499973
Cd2+,Y3+,Ti4+,1.09,1.69,1.04,1.22,0.745,1.54,0.013869529000000113
Er3+,Sc3+,Al3+,1.03,1.24,0.885,1.36,0.675,1.61,-0.031136110906250635
Cd2+,Ho3+,Si4+,1.09,1.69,1.041,1.23,0.54,1.9,-0.01309967125
Pr3+,In3+,Ga3+,1.13,1.13,0.94,1.78,0.76,1.81,-0.07680888356250008
Cd2+,Al3+,Si4+,1.09,1.69,0.675,1.61,0.54,1.9,-0.027276813374999875
Mg2+,Dy3+,Si4+,0.86,1.31,1.052,1.22,0.54,1.9,0.10222277900000024
Nd3+,Dy3+,Al3+,1.123,1.14,1.052,1.22,0.675,1.61,-0.03497594131250068
Y3+,Ho3+,Al3+,1.04,1.22,1.041,1.23,0.675,1.61,0.0036246933749993103
Y3+,Sc3+,Ga3+,1.04,1.22,0.885,1.36,0.76,1.81,-0.051844841812499355
Sr2+,Dy3+,Ti4+,1.32,0.95,1.052,1.22,0.745,1.54,-0.20244586537499956
Sm3+,Tm3+,Ga3+,1.0979999999999999,1.17,1.02,1.25,0.76,1.81,-0.05728049940625013
Na1+,Ga3+,As5+,1.16,0.93,0.76,1.81,0.6,2.18,-0.2971035325624996
Mg2+,Dy3+,Sn4+,0.86,1.31,1.052,1.22,0.83,1.96,0.28016699575
Dy3+,Ho3+,Ga3+,1.052,1.22,1.041,1.23,0.76,1.81,-0.009350386250000042
Ca2+,Rh3+,Ge4+,1.14,1.0,0.805,2.28,0.67,2.01,-0.14674027462500022
